Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
english setter,england,"black, white, liver",23-27,brown,12-15,"intelligent, energetic, affectionate, good-natured","hip dysplasia, eye problems, cancer"
pointer,england,"black, white, liver",21-27,brown,12-15,"intelligent, energetic, good-natured, affectionate","hip dysplasia, eye problems, cancer"
gordon setter,scotland,"black, tan",23-27,brown,12-15,"intelligent, energetic, good-natured, affectionate","hip dysplasia, eye problems, cancer"
irish setter,ireland,red,24-28,brown,12-15,"intelligent, energetic, good-natured, affectionate","hip dysplasia, eye problems, cancer"
papillon,france,"white, black, sable, red",8-11,brown,14-16,"intelligent, energetic, affectionate, good-natured","dental problems, eye problems, bladder stones"
pekingese,china,"black, white, red",6-9,brown,12-15,"independent, intelligent, affectionate, good-natured","dental problems, respiratory issues, eye problems"
toy poodle,france,"white, black, brown, apricot",10-11,"brown, blue",12-15,"intelligent, active, affectionate, hypoallergenic","hip dysplasia, epilepsy, bladder stones"
miniature poodle,france,"white, black, brown, apricot",10-15,"brown, blue",12-15,"intelligent, active, affectionate, hypoallergenic","hip dysplasia, epilepsy, bladder stones"
standard poodle,france,"white, black, brown, apricot",15-22,"brown, blue",12-15,"intelligent, active, affectionate, hypoallergenic","hip dysplasia, epilepsy, bladder stones"
affenpinscher,germany,"black, brown, red",9-11,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye problems, skin allergies"
boston terrier,united states,"black, white",15-17,brown,11-13,"intelligent, energetic, affectionate, good-natured","eye problems, respiratory issues, skin allergies"
brussels griffon,belgium,"black, red",7-10,brown,12-15,"intelligent, energetic, affectionate, good-natured","dental problems, eye problems, respiratory issues"
cairn terrier,scotland,"black, wheaten, red",10-12,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye problems, skin allergies"
chinese crested,china,"pink, white, black",11-13,brown,13-18,"intelligent, energetic, affectionate, good-natured","dental problems, eye problems, skin allergies"
miniature schnauzer,germany,"black, salt & pepper, white",12-14,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, pancreatitis, diabetes"
standard schnauzer,germany,"black, salt & pepper",18-20,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, pancreatitis, diabetes"
west highland white terrier,scotland,white,11-12,brown,12-16,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
australian terrier,australia,"red, black & tan",10-11,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
border terrier,england,"red, wheaten, black",10-16,brown,12-16,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
coton de tulear,madagascar,white,9-11,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
english toy spaniel,england,"white, blenheim",10-12,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
australian stumpy tail cattle dog,australia,"red, black",17-20,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
pug,china,"black, fawn",10-14,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, respiratory issues, eye problems"
american eskimo dog,united states,white,15-19,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
australian cattle dog,australia,"blue, red",17-20,brown,12-16,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
basset hound,france,"black, white, red",11-15,brown,10-12,"gentle, good-natured, loyal, intelligent","dental problems, eye issues, skin allergies"
australian kelpie,australia,"red, black",17-20,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
bloodhound,england,"red, black",22-27,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
border collie,england,"black, white, red",18-22,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
australian shepherd,australia,blue merle,20-23,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
american bulldog,united states,"white, red",20-28,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
australian shepherd,australia,"black, red",18-23,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, skin allergies, hip dysplasia"
borzoi,russia,"white, cream, red",26-29,brown,10-12,"gentle, good-natured, loyal, intelligent","dental problems, eye issues, skin allergies"
bull terrier,england,"white, red",20-22,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
cane corso,italy,"black, red",22-28,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
cardigan welsh corgi,wales,"red, sable, black",10-12,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
chesapeake bay retriever,united states,"brown, tan",21-26,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
saluki,middle east,"cream, red",23-28,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
english setter,england,"liver, blue",25-27,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
english springer spaniel,england,"black, white, liver",20-24,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
field spaniel,england,"black, liver",15-18,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
finnish spitz,finland,"red, golden",15-20,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
flat-coated retriever,england,"black, liver",22-25,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
australian terrier,australia,red,10-11,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
giant schnauzer,germany,"black, salt & pepper",25-28,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
golden retriever,scotland,gold,21-24,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
gordon setter,scotland,"black, tan",24-27,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
australian cattle dog,australia,"blue, red",17-20,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
greyhound,england,"white, black, red",26-30,brown,10-12,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
harrier,england,"red, black & tan",18-21,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
irish setter,ireland,red,26-28,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
irish terrier,ireland,red,14-16,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
irish water spaniel,ireland,brown,21-24,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
irish wolfhound,ireland,"grey, red",30-35,brown,6-10,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
italian greyhound,italy,"red, black",13-15,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
jack russell terrier,england,"white, black & tan",10-12,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
japanese chin,japan,"black, red",7-11,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
keeshond,netherlands,"black, cream",17-19,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
kerry blue terrier,ireland,blue,17-19,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
kuvasz,hungary,white,25-29,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
lhasa apso,tibet,"black, white",10-11,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
maltese,malta,white,8-10,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
miniature pinscher,germany,"red, stag red",10-12,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
samoyed,russia,white,21-23,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
shetland sheepdog,scotland,"sable, black",13-16,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
staffordshire bull terrier,england,"white, black, red",14-16,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
vizsla,hungary,red,20-24,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
anatolian shepherd,turkey,fawn,27-29,brown,12-14,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
welsh corgi,wales,"red, sable",10-12,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
welsh springer spaniel,wales,"liver, white",20-25,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
welsh terrier,wales,"black, tan",10-12,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
west highland white terrier,scotland,white,10-12,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
whippet,england,"white, black, red",18-22,brown,12-15,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
wirehaired pointing griffon,belgium,"brown, white",21-24,brown,12-14,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
xoloitzcuintli,mexico,"black, red",10-14,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
yorkshire terrier,england,blue & tan,7-8,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
akita,japan,"red, fawn, sesame",24-28,brown,10-12,"loyal, intelligent, good-natured, energetic","dental problems, eye issues, skin allergies"
africanis,africa,"brown, red",22-25,brown,12-15,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
basenji,congo,"red, black & white",16-17,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
catahoula leopard dog,united states,"merle, black",20-26,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
cocker spaniel,england,"black, brown",14-15,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
miniature shiba inu,japan,"red, sesame",13-16,brown,12-15,"intelligent, energetic, playful, good-natured","dental problems, eye issues, skin allergies"
belgian tervuren,belgium,fawn,22-26,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
pharaoh hound,malta,red,21-25,brown,12-14,"intelligent, energetic, good-natured, loyal","dental problems, eye issues, skin allergies"
